rank,mrmr_mean,mrmr_max
92,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",value__ratio_beyond_r_sigma__r_1.5
93,"value__fft_coefficient__attr_""abs""__coeff_70","value__fft_coefficient__attr_""real""__coeff_17"
94,"value__fft_coefficient__attr_""angle""__coeff_91","value__fft_coefficient__attr_""angle""__coeff_46"
95,"value__fft_coefficient__attr_""imag""__coeff_93","value__fft_coefficient__attr_""real""__coeff_18"
96,value__autocorrelation__lag_7,"value__fft_coefficient__attr_""real""__coeff_47"
97,"value__fft_coefficient__attr_""abs""__coeff_23","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8"
98,"value__fft_coefficient__attr_""angle""__coeff_69","value__fft_coefficient__attr_""angle""__coeff_83"
99,value__variation_coefficient,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
100,"value__fft_coefficient__attr_""imag""__coeff_79","value__fft_coefficient__attr_""real""__coeff_54"
101,"value__fft_coefficient__attr_""real""__coeff_16",value__ar_coefficient__coeff_8__k_10
102,value__friedrich_coefficients__coeff_3__m_3__r_30,"value__fft_coefficient__attr_""imag""__coeff_93"
103,"value__fft_coefficient__attr_""real""__coeff_5","value__fft_coefficient__attr_""real""__coeff_31"
104,"value__fft_coefficient__attr_""imag""__coeff_37","value__fft_coefficient__attr_""imag""__coeff_18"
105,value__lempel_ziv_complexity__bins_3,"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
106,"value__fft_coefficient__attr_""imag""__coeff_3","value__fft_coefficient__attr_""real""__coeff_48"
107,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""real""__coeff_33"
108,value__last_location_of_minimum,"value__fft_coefficient__attr_""angle""__coeff_87"
109,"value__fft_coefficient__attr_""imag""__coeff_10",value__time_reversal_asymmetry_statistic__lag_3
110,value__index_mass_quantile__q_0.7,"value__fft_coefficient__attr_""angle""__coeff_55"
111,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min"""
112,"value__fft_coefficient__attr_""abs""__coeff_1","value__fft_coefficient__attr_""real""__coeff_24"
113,value__time_reversal_asymmetry_statistic__lag_3,"value__fft_coefficient__attr_""imag""__coeff_87"
114,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,value__index_mass_quantile__q_0.1
115,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_57"
116,value__mean_abs_change,"value__fft_coefficient__attr_""imag""__coeff_20"
117,"value__fft_coefficient__attr_""angle""__coeff_92","value__fft_coefficient__attr_""imag""__coeff_79"
118,"value__fft_coefficient__attr_""real""__coeff_90","value__fft_coefficient__attr_""angle""__coeff_58"
119,"value__fft_coefficient__attr_""imag""__coeff_1","value__fft_coefficient__attr_""real""__coeff_80"
120,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__fft_coefficient__attr_""angle""__coeff_90"
121,"value__fft_coefficient__attr_""abs""__coeff_13","value__fft_coefficient__attr_""imag""__coeff_29"
122,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""real""__coeff_94"
123,"value__fft_coefficient__attr_""angle""__coeff_57","value__fft_coefficient__attr_""real""__coeff_22"
124,"value__fft_coefficient__attr_""abs""__coeff_29","value__fft_coefficient__attr_""real""__coeff_19"
125,"value__fft_coefficient__attr_""imag""__coeff_16","value__fft_coefficient__attr_""real""__coeff_46"
126,"value__fft_coefficient__attr_""abs""__coeff_66","value__fft_coefficient__attr_""real""__coeff_95"
127,value__approximate_entropy__m_2__r_0.7,value__ar_coefficient__coeff_5__k_10
128,"value__fft_coefficient__attr_""imag""__coeff_11",value__lempel_ziv_complexity__bins_3
129,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_89"
130,value__large_standard_deviation__r_0.05,"value__fft_coefficient__attr_""imag""__coeff_97"
131,"value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""angle""__coeff_41"
132,value__partial_autocorrelation__lag_6,"value__fft_coefficient__attr_""angle""__coeff_88"
133,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2"
