rank,mrmr_mean,mrmr_max
142,"value__agg_autocorrelation__f_agg_""mean""__maxlag_40","value__fft_coefficient__attr_""angle""__coeff_91"
143,"value__fft_coefficient__attr_""real""__coeff_84","value__fft_coefficient__attr_""real""__coeff_27"
144,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",value__number_crossing_m__m_1
145,"value__fft_coefficient__attr_""angle""__coeff_55","value__fft_coefficient__attr_""imag""__coeff_44"
146,"value__fft_coefficient__attr_""real""__coeff_7","value__fft_coefficient__attr_""angle""__coeff_25"
147,"value__fft_coefficient__attr_""imag""__coeff_24","value__fft_coefficient__attr_""real""__coeff_58"
148,"value__fft_coefficient__attr_""angle""__coeff_88","value__fft_coefficient__attr_""real""__coeff_54"
149,value__cid_ce__normalize_True,"value__fft_coefficient__attr_""imag""__coeff_73"
150,"value__fft_coefficient__attr_""real""__coeff_87","value__fft_coefficient__attr_""imag""__coeff_79"
151,"value__fft_coefficient__attr_""imag""__coeff_89",value__energy_ratio_by_chunks__num_segments_10__segment_focus_4
152,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__fft_coefficient__attr_""real""__coeff_51"
153,value__first_location_of_minimum,"value__fft_coefficient__attr_""real""__coeff_65"
154,"value__fft_coefficient__attr_""imag""__coeff_73","value__fft_coefficient__attr_""real""__coeff_85"
155,"value__fft_coefficient__attr_""abs""__coeff_71","value__fft_coefficient__attr_""real""__coeff_68"
156,value__friedrich_coefficients__coeff_0__m_3__r_30,"value__fft_coefficient__attr_""angle""__coeff_21"
157,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""angle""__coeff_96"
158,value__autocorrelation__lag_0,"value__fft_coefficient__attr_""abs""__coeff_98"
159,"value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""real""__coeff_4"
160,"value__fft_coefficient__attr_""angle""__coeff_77","value__fft_coefficient__attr_""real""__coeff_22"
161,value__partial_autocorrelation__lag_4,"value__fft_coefficient__attr_""imag""__coeff_51"
162,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"value__fft_coefficient__attr_""imag""__coeff_9"
163,"value__fft_coefficient__attr_""imag""__coeff_51","value__fft_coefficient__attr_""imag""__coeff_80"
164,"value__fft_coefficient__attr_""abs""__coeff_78","value__fft_coefficient__attr_""imag""__coeff_59"
165,"value__fft_coefficient__attr_""angle""__coeff_23","value__fft_coefficient__attr_""real""__coeff_35"
166,"value__fft_coefficient__attr_""abs""__coeff_8","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC"""
167,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","value__fft_coefficient__attr_""real""__coeff_94"
