rank,mrmr_mean,mrmr_max
81,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""abs""__coeff_12"
82,"value__fft_coefficient__attr_""angle""__coeff_14","value__fft_coefficient__attr_""real""__coeff_72"
83,value__autocorrelation__lag_7,value__ratio_beyond_r_sigma__r_1.5
84,value__variation_coefficient,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var"""
85,"value__fft_coefficient__attr_""abs""__coeff_70","value__fft_coefficient__attr_""angle""__coeff_65"
86,"value__fft_coefficient__attr_""angle""__coeff_91",value__number_crossing_m__m_-1
87,"value__fft_coefficient__attr_""imag""__coeff_87",value__standard_deviation
88,"value__fft_coefficient__attr_""abs""__coeff_4",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6
89,"value__fft_coefficient__attr_""angle""__coeff_69","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC"""
90,value__friedrich_coefficients__coeff_3__m_3__r_30,"value__fft_coefficient__attr_""real""__coeff_40"
91,"value__fft_coefficient__attr_""imag""__coeff_93","value__fft_coefficient__attr_""real""__coeff_44"
92,"value__fft_coefficient__attr_""imag""__coeff_79",value__length
93,"value__fft_coefficient__attr_""real""__coeff_5","value__fft_coefficient__attr_""real""__coeff_17"
94,"value__fft_coefficient__attr_""abs""__coeff_23","value__fft_coefficient__attr_""angle""__coeff_46"
95,value__index_mass_quantile__q_0.2,"value__fft_coefficient__attr_""real""__coeff_18"
96,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_47"
97,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8"
98,"value__fft_coefficient__attr_""real""__coeff_16","value__fft_coefficient__attr_""angle""__coeff_83"
99,value__index_mass_quantile__q_0.6,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
100,"value__fft_coefficient__attr_""imag""__coeff_37","value__fft_coefficient__attr_""real""__coeff_54"
101,value__mean_abs_change,"value__fft_coefficient__attr_""imag""__coeff_93"
102,"value__fft_coefficient__attr_""imag""__coeff_3","value__fft_coefficient__attr_""real""__coeff_31"
103,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_18"
104,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
105,"value__fft_coefficient__attr_""imag""__coeff_10","value__fft_coefficient__attr_""real""__coeff_48"
106,value__large_standard_deviation__r_0.1,"value__fft_coefficient__attr_""real""__coeff_33"
107,value__time_reversal_asymmetry_statistic__lag_3,"value__fft_coefficient__attr_""angle""__coeff_87"
108,"value__fft_coefficient__attr_""abs""__coeff_1",value__time_reversal_asymmetry_statistic__lag_3
109,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__fft_coefficient__attr_""real""__coeff_1"
110,"value__fft_coefficient__attr_""angle""__coeff_92","value__fft_coefficient__attr_""angle""__coeff_55"
111,"value__fft_coefficient__attr_""real""__coeff_90","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min"""
112,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_24"
113,value__lempel_ziv_complexity__bins_100,"value__fft_coefficient__attr_""imag""__coeff_87"
114,"value__fft_coefficient__attr_""imag""__coeff_1","value__fft_coefficient__attr_""real""__coeff_57"
115,"value__fft_coefficient__attr_""angle""__coeff_57","value__fft_coefficient__attr_""imag""__coeff_20"
116,"value__fft_coefficient__attr_""abs""__coeff_13",value__large_standard_deviation__r_0.1
117,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""imag""__coeff_79"
118,value__approximate_entropy__m_2__r_0.7,"value__fft_coefficient__attr_""angle""__coeff_58"
119,"value__fft_coefficient__attr_""imag""__coeff_16","value__fft_coefficient__attr_""real""__coeff_80"
