rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
442,"value__fft_coefficient__attr_""real""__coeff_29","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_51","value__fft_coefficient__attr_""abs""__coeff_55"
443,"value__fft_coefficient__attr_""angle""__coeff_31","value__fft_coefficient__attr_""abs""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_20","value__fft_coefficient__attr_""abs""__coeff_52","value__fft_coefficient__attr_""abs""__coeff_56"
444,"value__fft_coefficient__attr_""abs""__coeff_74","value__fft_coefficient__attr_""abs""__coeff_63","value__fft_coefficient__attr_""angle""__coeff_19","value__fft_coefficient__attr_""abs""__coeff_53","value__fft_coefficient__attr_""abs""__coeff_57"
445,"value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_23",value__approximate_entropy__m_2__r_0.1,"value__fft_coefficient__attr_""abs""__coeff_54","value__fft_coefficient__attr_""abs""__coeff_58"
446,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",value__partial_autocorrelation__lag_3,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","value__fft_coefficient__attr_""abs""__coeff_55","value__fft_coefficient__attr_""abs""__coeff_59"
447,"value__fft_coefficient__attr_""abs""__coeff_58","value__fft_coefficient__attr_""imag""__coeff_1","value__fft_coefficient__attr_""real""__coeff_43","value__fft_coefficient__attr_""abs""__coeff_56","value__fft_coefficient__attr_""abs""__coeff_60"
448,"value__fft_coefficient__attr_""real""__coeff_93",value__mean_change,value__mean_n_absolute_max__number_of_maxima_7,"value__fft_coefficient__attr_""abs""__coeff_57","value__fft_coefficient__attr_""abs""__coeff_61"
449,"value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_79",value__count_above__t_0,"value__fft_coefficient__attr_""abs""__coeff_58","value__fft_coefficient__attr_""abs""__coeff_62"
450,"value__fft_coefficient__attr_""angle""__coeff_10",value__large_standard_deviation__r_0.30000000000000004,value__partial_autocorrelation__lag_7,"value__fft_coefficient__attr_""abs""__coeff_59","value__fft_coefficient__attr_""abs""__coeff_63"
451,"value__fft_coefficient__attr_""abs""__coeff_13","value__fft_coefficient__attr_""angle""__coeff_95","value__fft_coefficient__attr_""imag""__coeff_39","value__fft_coefficient__attr_""abs""__coeff_60","value__fft_coefficient__attr_""abs""__coeff_64"
452,value__autocorrelation__lag_8,"value__fft_coefficient__attr_""abs""__coeff_32",value__kurtosis,"value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_65"
453,value__quantile__q_0.6,"value__fft_coefficient__attr_""abs""__coeff_50","value__fft_coefficient__attr_""abs""__coeff_26","value__fft_coefficient__attr_""abs""__coeff_62","value__fft_coefficient__attr_""abs""__coeff_66"
454,value__ratio_beyond_r_sigma__r_0.5,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_35","value__fft_coefficient__attr_""abs""__coeff_63","value__fft_coefficient__attr_""abs""__coeff_67"
455,value__large_standard_deviation__r_0.4,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",value__cid_ce__normalize_True,"value__fft_coefficient__attr_""abs""__coeff_64","value__fft_coefficient__attr_""abs""__coeff_68"
456,"value__fft_coefficient__attr_""abs""__coeff_77","value__fft_coefficient__attr_""abs""__coeff_58","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__fft_coefficient__attr_""abs""__coeff_65","value__fft_coefficient__attr_""abs""__coeff_69"
457,"value__fft_coefficient__attr_""imag""__coeff_38","value__fft_coefficient__attr_""abs""__coeff_4",value__sum_values,"value__fft_coefficient__attr_""abs""__coeff_66","value__fft_coefficient__attr_""abs""__coeff_70"
458,"value__fft_coefficient__attr_""imag""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_36","value__fft_coefficient__attr_""imag""__coeff_87","value__fft_coefficient__attr_""abs""__coeff_67","value__fft_coefficient__attr_""abs""__coeff_71"
459,"value__fft_coefficient__attr_""angle""__coeff_2","value__fft_coefficient__attr_""abs""__coeff_67","value__fft_coefficient__attr_""abs""__coeff_12","value__fft_coefficient__attr_""abs""__coeff_68","value__fft_coefficient__attr_""abs""__coeff_72"
460,"value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_69","value__fft_coefficient__attr_""abs""__coeff_73"
461,"value__fft_coefficient__attr_""abs""__coeff_40","value__fft_coefficient__attr_""angle""__coeff_98",value__last_location_of_maximum,"value__fft_coefficient__attr_""abs""__coeff_70","value__fft_coefficient__attr_""abs""__coeff_74"
462,"value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",value__fourier_entropy__bins_2,"value__fft_coefficient__attr_""abs""__coeff_71","value__fft_coefficient__attr_""abs""__coeff_75"
463,"value__fft_coefficient__attr_""angle""__coeff_68","value__fft_coefficient__attr_""abs""__coeff_79","value__fft_coefficient__attr_""real""__coeff_0","value__fft_coefficient__attr_""abs""__coeff_72","value__fft_coefficient__attr_""abs""__coeff_76"
464,"value__fft_coefficient__attr_""abs""__coeff_45","value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__fft_coefficient__attr_""abs""__coeff_21","value__fft_coefficient__attr_""abs""__coeff_73","value__fft_coefficient__attr_""abs""__coeff_77"
465,"value__fft_coefficient__attr_""real""__coeff_49","value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_20","value__fft_coefficient__attr_""abs""__coeff_74","value__fft_coefficient__attr_""abs""__coeff_78"
466,value__ratio_beyond_r_sigma__r_2.5,value__sum_of_reoccurring_values,"value__fft_coefficient__attr_""real""__coeff_29","value__fft_coefficient__attr_""abs""__coeff_75","value__fft_coefficient__attr_""abs""__coeff_79"
467,"value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_89","value__fft_coefficient__attr_""angle""__coeff_28","value__fft_coefficient__attr_""abs""__coeff_76","value__fft_coefficient__attr_""abs""__coeff_80"
468,"value__fft_coefficient__attr_""real""__coeff_10","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_45","value__fft_coefficient__attr_""abs""__coeff_77","value__fft_coefficient__attr_""abs""__coeff_81"
469,value__lempel_ziv_complexity__bins_2,"value__fft_coefficient__attr_""abs""__coeff_86","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_78","value__fft_coefficient__attr_""abs""__coeff_82"
470,"value__fft_coefficient__attr_""angle""__coeff_74","value__fft_coefficient__attr_""abs""__coeff_47","value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_79","value__fft_coefficient__attr_""abs""__coeff_83"
471,value__max_langevin_fixed_point__m_3__r_30,"value__fft_coefficient__attr_""abs""__coeff_44",value__ratio_beyond_r_sigma__r_0.5,"value__fft_coefficient__attr_""abs""__coeff_80","value__fft_coefficient__attr_""abs""__coeff_84"
472,"value__fft_coefficient__attr_""real""__coeff_72","value__fft_coefficient__attr_""angle""__coeff_49","value__fft_coefficient__attr_""imag""__coeff_91","value__fft_coefficient__attr_""abs""__coeff_81","value__fft_coefficient__attr_""abs""__coeff_85"
473,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_80","value__fft_coefficient__attr_""imag""__coeff_77","value__fft_coefficient__attr_""abs""__coeff_82","value__fft_coefficient__attr_""abs""__coeff_86"
474,"value__fft_coefficient__attr_""real""__coeff_7","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",value__autocorrelation__lag_8,"value__fft_coefficient__attr_""abs""__coeff_83","value__fft_coefficient__attr_""abs""__coeff_87"
475,"value__fft_coefficient__attr_""real""__coeff_3","value__fft_coefficient__attr_""angle""__coeff_55","value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_84","value__fft_coefficient__attr_""abs""__coeff_88"
476,"value__fft_coefficient__attr_""angle""__coeff_23","value__fft_coefficient__attr_""abs""__coeff_20","value__fft_coefficient__attr_""real""__coeff_92","value__fft_coefficient__attr_""abs""__coeff_85","value__fft_coefficient__attr_""abs""__coeff_89"
477,"value__fft_coefficient__attr_""real""__coeff_52","value__fft_coefficient__attr_""abs""__coeff_3","value__fft_coefficient__attr_""angle""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_86","value__fft_coefficient__attr_""abs""__coeff_90"
478,"value__fft_coefficient__attr_""abs""__coeff_78","value__fft_coefficient__attr_""abs""__coeff_78","value__fft_coefficient__attr_""abs""__coeff_35","value__fft_coefficient__attr_""abs""__coeff_87","value__fft_coefficient__attr_""abs""__coeff_91"
479,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""abs""__coeff_42","value__fft_coefficient__attr_""real""__coeff_77","value__fft_coefficient__attr_""abs""__coeff_88","value__fft_coefficient__attr_""abs""__coeff_92"
480,"value__fft_coefficient__attr_""abs""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_97","value__fft_coefficient__attr_""imag""__coeff_83","value__fft_coefficient__attr_""abs""__coeff_89","value__fft_coefficient__attr_""abs""__coeff_93"
481,"value__fft_coefficient__attr_""abs""__coeff_42","value__fft_coefficient__attr_""abs""__coeff_40","value__fft_coefficient__attr_""real""__coeff_65","value__fft_coefficient__attr_""abs""__coeff_90","value__fft_coefficient__attr_""abs""__coeff_94"
482,"value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_74","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""abs""__coeff_91","value__fft_coefficient__attr_""abs""__coeff_95"
483,"value__fft_coefficient__attr_""imag""__coeff_93","value__fft_coefficient__attr_""abs""__coeff_85","value__fft_coefficient__attr_""imag""__coeff_90","value__fft_coefficient__attr_""abs""__coeff_92","value__fft_coefficient__attr_""abs""__coeff_96"
484,"value__fft_coefficient__attr_""angle""__coeff_19",value__ar_coefficient__coeff_7__k_10,value__permutation_entropy__dimension_7__tau_1,"value__fft_coefficient__attr_""abs""__coeff_93","value__fft_coefficient__attr_""abs""__coeff_97"
485,"value__fft_coefficient__attr_""angle""__coeff_30","value__fft_coefficient__attr_""abs""__coeff_52","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""abs""__coeff_94","value__fft_coefficient__attr_""abs""__coeff_98"
486,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",value__autocorrelation__lag_2,"value__fft_coefficient__attr_""abs""__coeff_95","value__fft_coefficient__attr_""abs""__coeff_99"
487,"value__fft_coefficient__attr_""abs""__coeff_87","value__fft_coefficient__attr_""abs""__coeff_66","value__fft_coefficient__attr_""real""__coeff_60","value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""angle""__coeff_1"
488,"value__fft_coefficient__attr_""angle""__coeff_14","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_46","value__fft_coefficient__attr_""abs""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_2"
489,"value__fft_coefficient__attr_""real""__coeff_24","value__fft_coefficient__attr_""abs""__coeff_49",value__mean,"value__fft_coefficient__attr_""abs""__coeff_98","value__fft_coefficient__attr_""angle""__coeff_3"
490,"value__fft_coefficient__attr_""abs""__coeff_99","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",value__autocorrelation__lag_5,"value__fft_coefficient__attr_""abs""__coeff_99","value__fft_coefficient__attr_""angle""__coeff_4"
491,"value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""real""__coeff_7","value__fft_coefficient__attr_""angle""__coeff_1","value__fft_coefficient__attr_""angle""__coeff_5"
492,value__abs_energy,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__fft_coefficient__attr_""imag""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_6"
493,"value__linear_trend__attr_""intercept""","value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_93","value__fft_coefficient__attr_""angle""__coeff_3","value__fft_coefficient__attr_""angle""__coeff_7"
494,"value__fft_coefficient__attr_""real""__coeff_57",value__symmetry_looking__r_0.1,"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_4","value__fft_coefficient__attr_""angle""__coeff_8"
495,value__kurtosis,"value__fft_coefficient__attr_""abs""__coeff_77","value__fft_coefficient__attr_""abs""__coeff_10","value__fft_coefficient__attr_""angle""__coeff_5","value__fft_coefficient__attr_""angle""__coeff_9"
496,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""abs""__coeff_57",value__quantile__q_0.6,"value__fft_coefficient__attr_""angle""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_10"
497,"value__fft_coefficient__attr_""angle""__coeff_1",value__c3__lag_3,"value__fft_coefficient__attr_""imag""__coeff_92","value__fft_coefficient__attr_""angle""__coeff_7","value__fft_coefficient__attr_""angle""__coeff_11"
498,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_81","value__fft_coefficient__attr_""real""__coeff_49","value__fft_coefficient__attr_""angle""__coeff_8","value__fft_coefficient__attr_""angle""__coeff_12"
499,value__lempel_ziv_complexity__bins_10,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_9","value__fft_coefficient__attr_""angle""__coeff_13"
500,"value__fft_coefficient__attr_""abs""__coeff_67","value__fft_coefficient__attr_""abs""__coeff_45",value__absolute_maximum,"value__fft_coefficient__attr_""angle""__coeff_10","value__fft_coefficient__attr_""angle""__coeff_14"
